"","mem_no","crm_group","time","first_logon","first_dlvry","ord_cnt","cluster","is_churn","risk_ratio","is_logon","is_dlvry"
"8904","31940485AB3029054F3AA7ED81D444755941583F5A0DF047C8CA1E06BAE03E5B","test",2023-11-24,NA,NA,0,"part_all","NO",8.90217391304348,0,0
"8905","783163EA2E0F4A5AA213B14798B87BB8BAD96A2BFA01B7A2D981264A78C64624","control",2023-11-24,NA,NA,0,"part_all","YES",1.64102564102564,0,0
"8906","C0DB8D7DF754FDF6C0A8F5BDBA698FAAB93DDDC2A05A16CCFA512458ABEDFCC3","test",2023-11-24,NA,NA,0,"part_all","YES",14.4931506849315,0,0
"8907","800D0B05ABA3DE9D041DC0C8FC4A2709648C6EA98F59B7B4E1CC06021E942C3C","control",2023-11-24,NA,NA,0,"part_all","YES",3.17241379310345,0,0
"8908","8FBE60BBB613EF3AC645946D0D959A32B9239EE403A1A1ECCD297A6055C50892","test",2023-11-24,2023-11-24 22:42:00,NA,0,"part_all","NO",18.4,1,0
"8909","3C142AB6063C582F65F192DA1B103ACF7C6764AD1EB0919A56CD7C53B830A90D","control",2023-11-24,NA,NA,0,"part_peak","YES",16.5,0,0
"8910","6A7F4D4CED0E81D0C5053DE39D5FD647D63812A327B480FFB33AFA163FEFDE89","test",2023-11-24,NA,NA,0,"part_all","NO",16,0,0
"8911","1AFD15BB18392A89266010C19DD777CA80BC05A54ABFE71A84D374C0D501DBC2","control",2023-11-24,NA,NA,0,"part_peak","YES",18.25,0,0
"8912","CF6780C3CF4BC4C4DF9B4B240FBC9D87B6CCB3B0BF26E7E6A6C4B2BC2A4E83FF","control",2023-11-24,2023-11-24 13:16:00,NA,0,"part_peak","NO",2.11764705882353,1,0
"8913","DE4D4CFC4860027C8110DF91299D4AF9B901DEE653E0F1CB6D0A10A046FE4C55","control",2023-11-24,NA,NA,0,"part_all","NO",2.30434782608696,0,0
"8914","A0279CF928B1B58C70347847882D67E98F44A4D2B3F681B8441FF9E6BD7817F2","control",2023-11-24,NA,NA,0,"part_peak","YES",4.23529411764706,0,0
"8915","AA9092C073450313ECF419ED02B033E021EFEF77DACD31C8DD6CBF872D10AA04","control",2023-11-24,NA,NA,0,"part_peak","YES",17.4285714285714,0,0
"8916","1C05DB75422A6C144F552001BEF3D8171B168400C128F07F1D34A3447C311AD2","control",2023-11-24,NA,NA,0,"part_peak","YES",3.92405063291139,0,0
"8917","8DE2675C7E85F0F3CCCFE6323E9A6EBEA2B2C06447F417EA3A9A02454A2E01E3","control",2023-11-24,NA,NA,0,"part_peak","YES",8.66666666666667,0,0
"8918","A13FE9CAFE880B3F111C5C8002926460E201B980BF56F53E4754E70767BEAF8E","control",2023-11-24,NA,NA,0,"part_peak","YES",3.21311475409836,0,0
"8919","F64AE8EDA91C868E6CEEDB2A1BCD66776CFE3AA21C1C7EF9AB020598E0BE6E1D","test",2023-11-24,NA,NA,0,"part_peak","YES",7.54838709677419,0,0
"8920","E9A742E693409D2B71FA3738CD2FCCD131CBD42DEE0B6FD0DE9A7EF39EAFB29B","test",2023-11-24,NA,NA,0,"part_peak","YES",14.1944444444444,0,0
"8921","DE5F8EC9527AC474CAA72E3FAE36E51F102B708ADBC350CD87CA921A35D61EF7","control",2023-11-24,NA,NA,0,"part_peak","YES",12.037037037037,0,0
"8922","C9718D528D33ADD2E74E53568CCAFF943DAE847FAE8423B4C99B39D7A008DBE6","control",2023-11-24,NA,NA,0,"part_all","NO",2.98130841121495,0,0
"8923","F7D97BF0C5BD019A31E5C48A12734D591A348E4DB5BB6B0A22C707038058567E","control",2023-11-24,2023-11-24 10:19:00,NA,0,"part_peak","NO",4.40366972477064,0,0
"8924","B61160ECD4B8BC7AC0384B3BCD239E4DFD1256D8B59B215042EABC9D2BCF73F5","test",2023-11-24,2023-11-24 21:32:00,NA,0,"part_peak","NO",1.06194690265487,1,0
"8925","246F485F786B80A2118E297A1F61427BFC1E3C5FEFA25689631ABB4F79B3D59F","control",2023-11-24,NA,NA,0,"part_peak","YES",49.304347826087,0,0
"8926","F1EE443C9F8295EF173EBDA7695A9AA18D89305F476F7507654555CD1FD095F8","test",2023-11-24,NA,NA,0,"part_peak","YES",6,0,0
"8927","A51BA24BBD6F5E8E982357DB4143D3A7A5BDD54A7E9C7348F390D31C090C5F9A","test",2023-11-24,NA,NA,0,"part_peak","YES",26.1428571428571,0,0
"8928","9B5FAF8B962B724C6D77C3364C550806D4756F5B23AE404865DFA29B32142B7E","control",2023-11-24,NA,NA,0,"part_all","NO",2.11320754716981,0,0
"8929","D58DEA5AED42B361F68D80ED268DBEC480EE5269FD4AF7F1796D54DE4FA75655","control",2023-11-24,2023-11-24 15:30:00,2023-11-24 23:45:00,1,"part_peak","NO",1.84347826086957,1,1
"8930","72F84692B361B6DEB6867498FF0E79F5F12C5B87F9CD707DD35FA2F05379E5AE","control",2023-11-24,NA,NA,0,"part_peak","NO",6.75,0,0
"8931","538550976C9418D5D0E022AA450B7C6E8E6E031EED52C9E4AA8E1B108DA67836","control",2023-11-24,NA,NA,0,"part_peak","YES",8.52631578947368,0,0
"8932","753968EBC85E54C570675112B2049A7F068FF4FE46145CEAB80DE376D8467D04","control",2023-11-24,2023-11-24 09:49:00,NA,0,"part_peak","NO",1.42857142857143,0,0
