,brms_rider_id,crm_time,rgn2_nm,order_count
109,215D83D0C6A7AAF9D7DA0EB6BF3D6A0CF82C9C82AAEF30F322759B00ED881860,2nd_time,청주시 서원구,19
110,215D83D0C6A7AAF9D7DA0EB6BF3D6A0CF82C9C82AAEF30F322759B00ED881860,2nd_time,청주시 흥덕구,100
111,217749C215A33B3B5705C687067C4A55F2C35573DCAC5ABD37D47D609E772FB6,1st_time,동작구,11
112,217749C215A33B3B5705C687067C4A55F2C35573DCAC5ABD37D47D609E772FB6,1st_time,서초구,25
113,217749C215A33B3B5705C687067C4A55F2C35573DCAC5ABD37D47D609E772FB6,1st_time,용산구,1
114,217749C215A33B3B5705C687067C4A55F2C35573DCAC5ABD37D47D609E772FB6,2nd_time,동작구,20
115,217749C215A33B3B5705C687067C4A55F2C35573DCAC5ABD37D47D609E772FB6,2nd_time,서초구,25
116,21CE414465885EBADC25010B7BD486442CF89A129B2F317C2FFA8933C5596434,1st_time,강남구,7
117,21CE414465885EBADC25010B7BD486442CF89A129B2F317C2FFA8933C5596434,1st_time,서초구,6
118,21CE414465885EBADC25010B7BD486442CF89A129B2F317C2FFA8933C5596434,2nd_time,강남구,6
119,21CE414465885EBADC25010B7BD486442CF89A129B2F317C2FFA8933C5596434,2nd_time,서초구,42
120,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,1st_time,청주시 상당구,10
121,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,1st_time,청주시 서원구,3
122,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,1st_time,청주시 청원구,3
123,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,1st_time,청주시 흥덕구,1
124,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,2nd_time,청주시 상당구,1
125,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,2nd_time,청주시 청원구,1
126,229AB010F89B6AE089A9F3279FBEC94E23B7A6CF2842F859B82CAB66C0FE645D,2nd_time,청주시 흥덕구,3
127,22B0F590D0269CB16C7958F547BC224C0DF844757C396E49E7560A786DD8BBB7,1st_time,청주시 서원구,2
128,22B0F590D0269CB16C7958F547BC224C0DF844757C396E49E7560A786DD8BBB7,1st_time,청주시 흥덕구,4
129,22B0F590D0269CB16C7958F547BC224C0DF844757C396E49E7560A786DD8BBB7,2nd_time,청주시 서원구,7
130,22B0F590D0269CB16C7958F547BC224C0DF844757C396E49E7560A786DD8BBB7,2nd_time,청주시 청원구,1
131,22B0F590D0269CB16C7958F547BC224C0DF844757C396E49E7560A786DD8BBB7,2nd_time,청주시 흥덕구,3
132,23A04FC22A13E76C9C7DA2F5EE1FDD4EE42BB3DBD83F78F3399EC3CCE041D0F6,1st_time,서초구,19
133,23A04FC22A13E76C9C7DA2F5EE1FDD4EE42BB3DBD83F78F3399EC3CCE041D0F6,2nd_time,서초구,65
134,23E1C135681FDFCA1CBB0D182FCFF2E063C1348BE317603B4526D864A6DCA467,1st_time,청주시 흥덕구,22
135,23E1C135681FDFCA1CBB0D182FCFF2E063C1348BE317603B4526D864A6DCA467,2nd_time,청주시 흥덕구,33
136,23FCE9E8A55EE405117D49382A39BA7077CC98F79360F54C6685A20EAAE38DB8,1st_time,강남구,10
137,23FCE9E8A55EE405117D49382A39BA7077CC98F79360F54C6685A20EAAE38DB8,1st_time,서초구,23
138,23FCE9E8A55EE405117D49382A39BA7077CC98F79360F54C6685A20EAAE38DB8,2nd_time,강남구,4
139,23FCE9E8A55EE405117D49382A39BA7077CC98F79360F54C6685A20EAAE38DB8,2nd_time,동작구,4
140,23FCE9E8A55EE405117D49382A39BA7077CC98F79360F54C6685A20EAAE38DB8,2nd_time,서초구,16
141,276F37CB2576ECDF90CF276B17C5D71B7D851A9D60D4B025E94B4F1E66DB5495,1st_time,서초구,11
142,276F37CB2576ECDF90CF276B17C5D71B7D851A9D60D4B025E94B4F1E66DB5495,2nd_time,관악구,1
143,276F37CB2576ECDF90CF276B17C5D71B7D851A9D60D4B025E94B4F1E66DB5495,2nd_time,동작구,1
144,276F37CB2576ECDF90CF276B17C5D71B7D851A9D60D4B025E94B4F1E66DB5495,2nd_time,서초구,29
145,2796613FB8106F915C24ADF9EDB573A297906DB808DC5FF48E3E0A446EE84316,1st_time,청주시 흥덕구,1
146,2796613FB8106F915C24ADF9EDB573A297906DB808DC5FF48E3E0A446EE84316,2nd_time,청주시 서원구,17
147,2796613FB8106F915C24ADF9EDB573A297906DB808DC5FF48E3E0A446EE84316,2nd_time,청주시 흥덕구,13
148,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,1st_time,청주시 상당구,16
149,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,1st_time,청주시 서원구,21
150,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,1st_time,청주시 청원구,1
151,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,1st_time,청주시 흥덕구,39
152,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,2nd_time,청주시 상당구,17
153,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,2nd_time,청주시 서원구,28
154,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,2nd_time,청주시 청원구,7
155,28172FFD009AC65DC6DD979D060CE96B6904DD905D29A4C025D9E9FCA0296281,2nd_time,청주시 흥덕구,25
156,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,1st_time,청주시 상당구,2
157,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,1st_time,청주시 서원구,11
158,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,1st_time,청주시 청원구,1
159,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,1st_time,청주시 흥덕구,13
160,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,2nd_time,청주시 상당구,24
161,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,2nd_time,청주시 서원구,41
162,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,2nd_time,청주시 청원구,7
163,28D660ED284D648C83618D52CC98A95ADD958E56370ECF7155BBBD98C5FB7FD4,2nd_time,청주시 흥덕구,22
164,2BB1A211AC9A1DE9D64098F23749013006CA4F696A6DFC99CB1BFE46D781F757,1st_time,서초구,42
165,2BB1A211AC9A1DE9D64098F23749013006CA4F696A6DFC99CB1BFE46D781F757,2nd_time,강남구,4
166,2BB1A211AC9A1DE9D64098F23749013006CA4F696A6DFC99CB1BFE46D781F757,2nd_time,서초구,42
167,2D1AC685C05DD7B685EA8821B5D3F7BBD5E7C4EFEB3F2943BB56F0E87DDB8528,1st_time,청주시 흥덕구,56
168,2D1AC685C05DD7B685EA8821B5D3F7BBD5E7C4EFEB3F2943BB56F0E87DDB8528,2nd_time,청주시 흥덕구,30
169,2D881D93C16976C08850D9DE5B0D6943BD1BD8720764BA5B91352AFEA1F56119,1st_time,청주시 서원구,4
170,2D881D93C16976C08850D9DE5B0D6943BD1BD8720764BA5B91352AFEA1F56119,1st_time,청주시 흥덕구,2
171,2D881D93C16976C08850D9DE5B0D6943BD1BD8720764BA5B91352AFEA1F56119,2nd_time,청주시 서원구,4
172,2D881D93C16976C08850D9DE5B0D6943BD1BD8720764BA5B91352AFEA1F56119,2nd_time,청주시 흥덕구,2
173,2D9C763AB3F1200A29E11A44BBBC27E405AC678B5837FEC9CDB3A1BDDC6FE982,1st_time,동작구,3
174,2D9C763AB3F1200A29E11A44BBBC27E405AC678B5837FEC9CDB3A1BDDC6FE982,1st_time,서초구,12
175,2D9C763AB3F1200A29E11A44BBBC27E405AC678B5837FEC9CDB3A1BDDC6FE982,2nd_time,강남구,4
176,2D9C763AB3F1200A29E11A44BBBC27E405AC678B5837FEC9CDB3A1BDDC6FE982,2nd_time,동작구,2
177,2D9C763AB3F1200A29E11A44BBBC27E405AC678B5837FEC9CDB3A1BDDC6FE982,2nd_time,서초구,19
178,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,1st_time,강남구,9
179,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,1st_time,관악구,1
180,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,1st_time,동작구,4
181,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,1st_time,서초구,22
182,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,2nd_time,강남구,10
183,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,2nd_time,관악구,12
